chebi_id	children_count	depth[,]
CHEBI:59835	31	8, 9, 11
CHEBI:43746	0	8, 9, 10, 11, 12, 13, 14
CHEBI:59834	1	9, 10
CHEBI:43745	0	10, 11, 12
CHEBI:46448	0	9, 13, 15
CHEBI:41609	0	6, 7, 8, 9, 10
CHEBI:59833	0	9, 10, 11
CHEBI:59832	1	9, 10
CHEBI:41608	0	9, 10, 11, 12, 13
CHEBI:43748	0	8, 10, 11, 12
CHEBI:46480	0	10, 11, 12, 13, 14
CHEBI:4775	0	8, 10, 12
CHEBI:4778	0	6
CHEBI:4779	0	8, 9, 10
CHEBI:59870	2	8, 10
CHEBI:43760	0	8, 10, 11, 12
CHEBI:59871	0	7
CHEBI:59872	1	8, 10
CHEBI:59873	0	9, 11
CHEBI:59874	33	8, 9, 10, 11
CHEBI:59875	0	9, 11
CHEBI:46486	0	9, 10, 11, 12, 13, 14
CHEBI:43755	0	11, 12
CHEBI:59866	0	7, 9, 10, 12
CHEBI:59865	0	7
CHEBI:59868	0	9, 11
CHEBI:46479	0	7, 8, 9, 10, 11, 12, 13, 14
CHEBI:59867	0	11, 13
CHEBI:41617	0	9, 10, 11, 12
CHEBI:59869	0	7
CHEBI:41611	0	12, 14
CHEBI:43759	0	10, 12, 14
CHEBI:46470	0	6
CHEBI:34003	0	7, 8, 9, 10, 11, 12
CHEBI:59860	0	8, 9, 11
CHEBI:46471	0	7, 8, 9, 10, 11, 12
CHEBI:4768	0	8, 9, 10, 11
CHEBI:59863	2	16, 12, 13, 14, 15
CHEBI:46475	0	8, 9, 10, 11
CHEBI:59861	0	11, 13
CHEBI:59862	0	9, 10
CHEBI:46477	0	7, 9, 10, 12
CHEBI:43768	0	9, 10, 11, 12, 13
CHEBI:59857	2	7, 8, 9
CHEBI:59856	0	7, 9, 10, 12
CHEBI:43766	0	17, 16, 8, 9, 10, 11, 14, 15
CHEBI:59855	0	6, 8, 9, 11
CHEBI:43765	0	7, 8, 9, 10, 11, 12
CHEBI:43763	0	7, 8, 9, 10, 11, 12, 13
CHEBI:59859	3	7
CHEBI:43762	0	8, 9, 10, 11, 12, 13, 14
CHEBI:59858	0	8, 9, 10
CHEBI:43761	0	8, 9, 10, 11
CHEBI:41623	0	7, 8, 9, 10, 11, 12
CHEBI:45960	0	9, 10, 11, 12, 13
CHEBI:59895	0	7
CHEBI:59894	0	7, 8, 10
CHEBI:59896	0	7, 8, 10
CHEBI:59891	0	9
CHEBI:59890	0	9
CHEBI:59893	0	9, 10, 11, 12
CHEBI:59892	0	7, 8, 9
CHEBI:4798	0	9, 10, 11, 12
CHEBI:4792	0	7, 8, 9
CHEBI:4791	0	9, 10, 11, 12, 13, 14
CHEBI:45957	0	8, 9, 10, 11, 12
CHEBI:46414	0	8, 9, 10, 11, 12
CHEBI:59887	0	7, 8, 10
CHEBI:45953	0	16, 9, 10, 11, 12, 13, 14, 15
CHEBI:59888	0	7
CHEBI:59889	0	7, 8, 9
CHEBI:45951	0	7, 8, 9, 10, 11, 12
CHEBI:59885	0	7, 9, 10, 11, 12, 13, 14
CHEBI:59884	0	6, 8, 9, 10, 11, 12, 13, 14
CHEBI:45971	0	8, 9, 10, 11
CHEBI:59883	0	17, 16, 13, 14, 15
CHEBI:59882	0	17, 16, 13, 14, 15
CHEBI:59881	0	16, 12, 13, 14, 15
CHEBI:59880	0	9, 10
CHEBI:4788	0	8, 9, 10, 12
CHEBI:4786	0	9, 10, 11, 12
CHEBI:4784	0	9, 10, 11, 12
CHEBI:4785	0	7
CHEBI:4781	0	9, 11
CHEBI:4780	0	9, 11
CHEBI:43703	0	16, 14
CHEBI:46409	0	7, 8, 9, 11
CHEBI:45969	0	9, 10, 11, 12
CHEBI:367163	0	8, 9, 10, 11, 12
CHEBI:45966	0	9, 10, 11, 12, 13, 14
CHEBI:46406	0	8, 9, 10, 11
